Jour;Datation;Date_Format_1;Demiheure;Flux;Poids;Commande
Mardi;19/12/2023;20231219;21:00:00;HLB;0%;0
Mardi;19/12/2023;20231219;21:30:00;HLB;0%;0
Mardi;19/12/2023;20231219;08:00:00;Help Desk;0%;0,023764259
Mardi;19/12/2023;20231219;08:30:00;Help Desk;0%;0,041329145
Mardi;19/12/2023;20231219;09:00:00;Help Desk;1%;0,297569846
Mardi;19/12/2023;20231219;09:30:00;Help Desk;5%;1,326665565
Mardi;19/12/2023;20231219;10:00:00;Help Desk;9%;2,28963465
Mardi;19/12/2023;20231219;10:30:00;Help Desk;8%;1,989998347
Mardi;19/12/2023;20231219;11:00:00;Help Desk;7%;1,788518763
Mardi;19/12/2023;20231219;11:30:00;Help Desk;6%;1,559142007
Mardi;19/12/2023;20231219;12:00:00;Help Desk;4%;0,899942139
Mardi;19/12/2023;20231219;12:30:00;Help Desk;3%;0,631302695
Mardi;19/12/2023;20231219;13:00:00;Help Desk;2%;0,469085799
Mardi;19/12/2023;20231219;13:30:00;Help Desk;3%;0,683997355
Mardi;19/12/2023;20231219;14:00:00;Help Desk;7%;1,681062986
Mardi;19/12/2023;20231219;14:30:00;Help Desk;7%;1,659365184
Mardi;19/12/2023;20231219;15:00:00;Help Desk;6%;1,569474293
Mardi;19/12/2023;20231219;15:30:00;Help Desk;6%;1,568441065
Mardi;19/12/2023;20231219;16:00:00;Help Desk;6%;1,491982146
Mardi;19/12/2023;20231219;16:30:00;Help Desk;5%;1,324599107
Mardi;19/12/2023;20231219;17:00:00;Help Desk;5%;1,158249297
Mardi;19/12/2023;20231219;17:30:00;Help Desk;4%;1,082823607
Mardi;19/12/2023;20231219;18:00:00;Help Desk;3%;0,765622417
Mardi;19/12/2023;20231219;18:30:00;Help Desk;2%;0,399859481
Mardi;19/12/2023;20231219;19:00:00;Help Desk;1%;0,193213754
Mardi;19/12/2023;20231219;19:30:00;Help Desk;0%;0,070259547
Mardi;19/12/2023;20231219;20:00:00;Help Desk;0%;0,025830716
Mardi;19/12/2023;20231219;20:30:00;Help Desk;0%;0,008265829
Mardi;19/12/2023;20231219;21:00:00;Help Desk;0%;0
Mardi;19/12/2023;20231219;21:30:00;Help Desk;0%;0
Mercredi;20/12/2023;20231220;08:00:00;HLB;0%;0,33596963
Mercredi;20/12/2023;20231220;08:30:00;HLB;0%;1,063903828
Mercredi;20/12/2023;20231220;09:00:00;HLB;1%;6,010123379
Mercredi;20/12/2023;20231220;09:30:00;HLB;5%;22,04334071
Mercredi;20/12/2023;20231220;10:00:00;HLB;8%;33,33565327
