Jour;Date;Date_Format_1;Flux;Sous_Flux;Commande;Capacitaire
Mardi;14/03/2023;20230314;Open;Premium;0;0
Mercredi;15/03/2023;20230315;DART;Convergents;928;0
Mercredi;15/03/2023;20230315;DART;Mobile;201;0
Mercredi;15/03/2023;20230315;Open;ADSL;2069;0
Mercredi;15/03/2023;20230315;Open;Fibre;1807;0
Mercredi;15/03/2023;20230315;Open;Mobile;681;5289,456355
Mercredi;15/03/2023;20230315;Open;Premium;0;0
Jeudi;16/03/2023;20230316;DART;Convergents;836;0
Jeudi;16/03/2023;20230316;DART;Mobile;187;0
Jeudi;16/03/2023;20230316;Open;ADSL;1865;0
Jeudi;16/03/2023;20230316;Open;Fibre;1643;0
Jeudi;16/03/2023;20230316;Open;Mobile;635;4658,443509
Jeudi;16/03/2023;20230316;Open;Premium;0;0
Vendredi;17/03/2023;20230317;DART;Convergents;848;0
Vendredi;17/03/2023;20230317;DART;Mobile;184;0
Vendredi;17/03/2023;20230317;Open;ADSL;1891;0
Vendredi;17/03/2023;20230317;Open;Fibre;1677;0
Vendredi;17/03/2023;20230317;Open;Mobile;624;4592,05239
Vendredi;17/03/2023;20230317;Open;Premium;0;0
Samedi;18/03/2023;20230318;DART;Convergents;529;0
Samedi;18/03/2023;20230318;DART;Mobile;118;0
Samedi;18/03/2023;20230318;Open;ADSL;1180;0
Samedi;18/03/2023;20230318;Open;Fibre;1032;0
Samedi;18/03/2023;20230318;Open;Mobile;402;2880,940717
Samedi;18/03/2023;20230318;Open;Premium;0;0
Dimanche;19/03/2023;20230319;DART;Convergents;0;0
Dimanche;19/03/2023;20230319;DART;Mobile;0;0
Dimanche;19/03/2023;20230319;Open;ADSL;0;0
Dimanche;19/03/2023;20230319;Open;Fibre;0;0
Dimanche;19/03/2023;20230319;Open;Mobile;0;0
Lundi;20/03/2023;20230320;DART;Convergents;870;0
Lundi;20/03/2023;20230320;DART;Mobile;194;0
Lundi;20/03/2023;20230320;Open;ADSL;2254;0
Lundi;20/03/2023;20230320;Open;Fibre;1940;0
Lundi;20/03/2023;20230320;Open;Mobile;782;5472,082241
Lundi;20/03/2023;20230320;Open;Premium;0;0
Mardi;21/03/2023;20230321;DART;Convergents;749;0
Mardi;21/03/2023;20230321;DART;Mobile;170;0
Mardi;21/03/2023;20230321;Open;ADSL;1940;0
Mardi;21/03/2023;20230321;Open;Fibre;1696;0
Mardi;21/03/2023;20230321;Open;Mobile;688;5380,027912
Mardi;21/03/2023;20230321;Open;Premium;0;0
Mercredi;22/03/2023;20230322;DART;Convergents;773;0
Mercredi;22/03/2023;20230322;DART;Mobile;167;0
Mercredi;22/03/2023;20230322;Open;ADSL;2003;0
